year,month,orderdate,turnover,quantity,country,city,productname,categoryname
2016,6,2016-06-29,168,12,France,Reims,Queso Cabrales,Dairy Products
2016,6,2016-06-29,98.00000191,10,France,Reims,Singaporean Hokkien Fried Mee,Grains/Cereals
2016,6,2016-06-29,173.9999962,5,France,Reims,Mozzarella di Giovanni,Dairy Products
2016,6,2016-06-30,167.4000034,9,Germany,Münster,Tofu,Produce
2016,6,2016-06-30,1696.000061,40,Germany,Münster,Manjimup Dried Apples,Produce
2016,7,2016-07-03,76.99999809,10,Brazil,Rio de Janeiro,Jack's New England Clam Chowder,Seafood
2016,7,2016-07-03,1484.000053,35,Brazil,Rio de Janeiro,Manjimup Dried Apples,Produce
2016,7,2016-07-03,251.9999886,15,Brazil,Rio de Janeiro,Louisiana Fiery Hot Pepper Sauce,Condiments
2016,7,2016-07-03,100.7999954,6,France,Lyon,Gustaf's KnÃ¤ckebrÃ¶d,Grains/Cereals
2016,7,2016-07-03,234.0000057,15,France,Lyon,Ravioli Angelo,Grains/Cereals
2016,7,2016-07-03,335.9999847,20,France,Lyon,Louisiana Fiery Hot Pepper Sauce,Condiments
2016,7,2016-07-04,2592.000122,40,Belgium,Charleroi,Sir Rodney's Marmalade,Confections
2016,7,2016-07-04,50,25,Belgium,Charleroi,Geitost,Dairy Products
2016,7,2016-07-04,1088.000031,40,Belgium,Charleroi,Camembert Pierrot,Dairy Products
2016,7,2016-07-05,200,20,Brazil,Rio de Janeiro,Gorgonzola Telino,Dairy Products
2016,7,2016-07-05,604.799984,42,Brazil,Rio de Janeiro,Chartreuse verte,Beverages
2016,7,2016-07-05,640,40,Brazil,Rio de Janeiro,Maxilaku,Confections
2016,7,2016-07-06,53.99999857,15,Switzerland,Bern,GuaranÃ¡ FantÃ¡stica,Beverages
2016,7,2016-07-06,403.200016,21,Switzerland,Bern,PÃ¢tÃ© chinois,Meat/Poultry
2016,7,2016-07-06,168,21,Switzerland,Bern,Longlife Tofu,Produce
2016,7,2016-07-07,303.9999962,20,Switzerland,Genève,Chang,Beverages
2016,7,2016-07-07,486.4999866,35,Switzerland,Genève,Pavlova,Confections
2016,7,2016-07-07,379.9999952,25,Switzerland,Genève,Inlagd Sill,Seafood
2016,7,2016-07-07,1320,30,Switzerland,Genève,Raclette Courdavault,Dairy Products
2016,7,2016-07-10,393.0000114,15,Brazil,Resende,Perth Pasties,Meat/Poultry
2016,7,2016-07-10,124.7999954,12,Brazil,Resende,Original Frankfurter grÃ¼ne SoÃe,Condiments
2016,7,2016-07-11,877.4999619,25,Venezuela,San Cristóbal,Schoggi Schokolade,Confections
2016,7,2016-07-11,86.39999771,6,Venezuela,San Cristóbal,Chartreuse verte,Beverages
2016,7,2016-07-11,155.9999943,15,Venezuela,San Cristóbal,Original Frankfurter grÃ¼ne SoÃe,Condiments
2016,7,2016-07-12,759.9999905,50,Austria,Graz,Chang,Beverages
2016,7,2016-07-12,1105,65,Austria,Graz,Chef Anton's Gumbo Mix,Condiments
2016,7,2016-07-12,153.6000023,6,Austria,Graz,Mascarpone Fabioli,Dairy Products
2016,7,2016-07-13,80,10,Mexico,México D.F.,Sir Rodney's Scones,Confections
2016,7,2016-07-13,20.79999924,1,Mexico,México D.F.,Gravad lax,Seafood
2016,7,2016-07-14,123.1999969,16,Germany,Köln,Jack's New England Clam Chowder,Seafood
2016,7,2016-07-14,780.0000191,50,Germany,Köln,Ravioli Angelo,Grains/Cereals
2016,7,2016-07-14,591.0000229,15,Germany,Köln,Tarte au sucre,Confections
2016,7,2016-07-14,252,21,Germany,Köln,Outback Lager,Beverages
2016,7,2016-07-14,160,20,Brazil,Rio de Janeiro,Sir Rodney's Scones,Confections
2016,7,2016-07-14,287.9999924,20,Brazil,Rio de Janeiro,Steeleye Stout,Beverages
2016,7,2016-07-17,204,12,USA,Albuquerque,Chef Anton's Gumbo Mix,Condiments
2016,7,2016-07-17,360,15,USA,Albuquerque,Uncle Bob's Organic Dried Pears,Produce
2016,7,2016-07-17,60.79999924,2,USA,Albuquerque,Gnocchi di nonna Alice,Grains/Cereals
2016,7,2016-07-18,833.9999771,60,Austria,Graz,Pavlova,Confections
2016,7,2016-07-18,100.7999973,28,Austria,Graz,GuaranÃ¡ FantÃ¡stica,Beverages
2016,7,2016-07-18,1242.000046,60,Austria,Graz,Nord-Ost Matjeshering,Seafood
2016,7,2016-07-18,288,36,Austria,Graz,Longlife Tofu,Produce
2016,7,2016-07-19,531.9999933,35,Sweden,Bräcke,Chang,Beverages
2016,7,2016-07-19,192.4999952,25,Sweden,Bräcke,Jack's New England Clam Chowder,Seafood
2016,7,2016-07-20,936.0000229,30,France,Strasbourg,Alice Mutton,Meat/Poultry
2016,7,2016-07-20,240,20,France,Strasbourg,Outback Lager,Beverages
2016,7,2016-07-21,364.7999954,12,Finland,Oulu,Queso Manchego La Pastora,Dairy Products
2016,7,2016-07-24,734.9999905,50,Germany,München,Boston Crab Meat,Seafood
2016,7,2016-07-24,3080,70,Germany,München,Raclette Courdavault,Dairy Products
2016,7,2016-07-24,215.9999943,15,Germany,München,LakkalikÃ¶Ã¶ri,Beverages
2016,7,2016-07-25,990,10,Venezuela,Caracas,ThÃ¼ringer Rostbratwurst,Meat/Poultry
2016,7,2016-07-25,111.1999969,4,Venezuela,Caracas,Mozzarella di Giovanni,Dairy Products
2016,7,2016-07-26,120,60,USA,Seattle,Geitost,Dairy Products
2016,7,2016-07-26,555.9999847,20,USA,Seattle,Mozzarella di Giovanni,Dairy Products
2016,7,2016-07-27,455.9999943,30,Finland,Oulu,Inlagd Sill,Seafood
2016,7,2016-07-27,919.9999809,25,Finland,Oulu,Ipoh Coffee,Beverages
2016,7,2016-07-27,48,24,USA,Lander,Geitost,Dairy Products
2016,7,2016-07-28,388.8000183,6,USA,Albuquerque,Sir Rodney's Marmalade,Confections
2016,7,2016-07-28,400,40,USA,Albuquerque,Gorgonzola Telino,Dairy Products
2016,7,2016-07-28,667.1999817,24,USA,Albuquerque,Mozzarella di Giovanni,Dairy Products
2016,7,2016-07-31,595.1999817,24,Germany,Cunewalde,Ikura,Seafood
2016,7,2016-07-31,150,15,Germany,Cunewalde,Gorgonzola Telino,Dairy Products
2016,7,2016-07-31,40,20,Germany,Cunewalde,Geitost,Dairy Products
2016,7,2016-07-31,881.9999886,60,Germany,Cunewalde,Boston Crab Meat,Seafood
2016,7,2016-07-31,475.1999874,33,Germany,Cunewalde,LakkalikÃ¶Ã¶ri,Beverages
2016,8,2016-08-01,344.0000153,20,France,Reims,Flotemysost,Dairy Products
2016,8,2016-08-01,194.5999947,7,France,Reims,Mozzarella di Giovanni,Dairy Products
2016,8,2016-08-02,43.19999886,12,Italy,Bergamo,GuaranÃ¡ FantÃ¡stica,Beverages
2016,8,2016-08-02,264,6,Italy,Bergamo,Raclette Courdavault,Dairy Products
2016,8,2016-08-03,371.9999886,15,Mexico,México D.F.,Ikura,Seafood
2016,8,2016-08-03,48.00000191,10,Mexico,México D.F.,Konbu,Seafood
2016,8,2016-08-04,728.0000305,20,Germany,Leipzig,RÃ¶ssle Sauerkraut,Produce
2016,8,2016-08-04,472.8000183,12,Germany,Leipzig,Tarte au sucre,Confections
2016,8,2016-08-07,248,16,Sweden,Luleå,Gula Malacca,Condiments
2016,8,2016-08-07,660,15,Sweden,Luleå,Raclette Courdavault,Dairy Products
2016,8,2016-08-07,280.7999878,8,Sweden,Luleå,Vegie-spread,Condiments
2016,8,2016-08-07,300,25,Sweden,Luleå,RÃ¶d Kaviar,Seafood
2016,8,2016-08-08,468.0000114,15,Germany,Frankfurt a.M.,Alice Mutton,Meat/Poultry
2016,8,2016-08-09,43.19999886,12,Sweden,Luleå,GuaranÃ¡ FantÃ¡stica,Beverages
2016,8,2016-08-09,384.0000153,20,Sweden,Luleå,PÃ¢tÃ© chinois,Meat/Poultry
2016,8,2016-08-09,185.9999943,30,Sweden,Luleå,RhÃ¶nbrÃ¤u Klosterbier,Beverages
2016,8,2016-08-09,7.300000191,1,Spain,Madrid,Teatime Chocolate Biscuits,Confections
2016,8,2016-08-09,21.59999943,6,Spain,Madrid,GuaranÃ¡ FantÃ¡stica,Beverages
2016,8,2016-08-09,57.59999847,4,Spain,Madrid,Steeleye Stout,Beverages
2016,8,2016-08-10,124.2000046,6,Spain,Madrid,Nord-Ost Matjeshering,Seafood
2016,8,2016-08-10,31.20000076,2,Spain,Madrid,Ravioli Angelo,Grains/Cereals
2016,8,2016-08-11,247.9999924,20,Venezuela,Barquisimeto,Genen Shouyu,Condiments
2016,8,2016-08-11,131.4000034,18,Venezuela,Barquisimeto,Teatime Chocolate Biscuits,Confections
2016,8,2016-08-11,952.0000267,35,Venezuela,Barquisimeto,Camembert Pierrot,Dairy Products
2016,8,2016-08-11,83.39999771,3,Venezuela,Barquisimeto,Mozzarella di Giovanni,Dairy Products
2016,8,2016-08-14,526.4999771,15,Germany,Frankfurt a.M.,Schoggi Schokolade,Confections
2016,8,2016-08-14,325.5,21,Germany,Frankfurt a.M.,Gula Malacca,Condiments
2016,8,2016-08-14,544.0000153,20,Germany,Frankfurt a.M.,Camembert Pierrot,Dairy Products
2016,8,2016-08-14,55.99999905,5,Germany,Frankfurt a.M.,Laughing Lumberjack Lager,Beverages
2016,8,2016-08-15,647.9999828,45,Germany,Cunewalde,Chai,Beverages
2016,8,2016-08-15,587.9999924,40,Germany,Cunewalde,Boston Crab Meat,Seafood
2016,8,2016-08-15,943.2000275,36,Germany,Cunewalde,Perth Pasties,Meat/Poultry
2016,8,2016-08-16,1439.999962,100,Germany,Cunewalde,Steeleye Stout,Beverages
